id;terminal_series;description
1;0107.035;Защита от дуговых замыканий
2;0107.190;Автоматика частотной разгрузки
3;0107.200;Защита и автоматика линии 6-35 кВ
4;0107.205;Универсальное устройство защиты присоединения 6-35 кВ
5;0107.210;Защита и автоматика рабочего (резервного) ввода 6-35 кВ
6;0107.211;Защита и автоматика рабочего (резервного) ввода с функцией суммарной токовой защиты 6 35 кВ
7;0107.220;Защита и автоматика секционного выключателя 6-35 кВ
8;0107.221;Защита и автоматика секционного выключателя с функцией дифференциальной защиты 6-35 кВ
9;0107.230;Защита и автоматика секционного (шинного) трансформатора напряжения 6-35 кВ
10;0107.240;Защита и автоматика батареи статических конденсаторов 6-35 кВ
11;0107.250;Защита и автоматика двигателя 6-35 кВ
12;0107.251;Защита и автоматика двухскоростного двигателя 6-35 кВ
13;0107.260;Защита и автоматика двигателя с функцией дифференциальной защиты 6-35 кВ
14;0107.270;Основная и резервная защиты трансформатора 6-35 кВ с автоматикой управления выключателем
15;0107.290;Автоматическая разгрузка по частоте и напряжению 6-35 кВ
16;0107.291;Автоматическая токовая разгрузка трансформатора 6-35 кВ
17;0107.330;Защита трансорматора блока
18;0107.400;Противоаварийная автоматика ЛЭП 110-220 кВ
19;0107.410;Противоаварийная автоматика ЛЭП 110-750 кВ
20;0107.420;Противоаварийная автоматика (авто)трансформатора
21;0107.430;Противоаварийная автоматика генератора/блока генератор-трансформатор
22;0107.440;Общеподстанционная противоаварийная автоматика
23;0107.450;Общестанционная противоаварийная автоматика
24;0107.460;Устройство фиксации отключения оборудования
25;0107.461;Устройство автоматики разгрузки при коротких замыканиях
26;0107.462;Устройство автоматики разгрузки при перегрузке по мощности
27;0107.700;Основная и резервная защиты двухобмоточного трансформатора 110 220 кВ
28;0107.701;Основная и резервная защиты трехобмоточного трансформатора 110 220 кВ
29;0107.702;Основная и резервная защиты трансформатора 110-220 кВ с количеством плеч до 5
30;0107.709;Основная и резервная защиты двухобмоточного трансформатора 110 220 кВ с автоматикой управления выключателем
31;0107.710;Резервная защита трансформатора с автоматикой управления выключателем 110-220 кВ
32;0107.711;Резервная защита трансформатора 110-220 кВ
33;0107.720;Основная и резервная защиты автотрансформатора 110-220 кВ (при отсутствии ошиновки на стороне НН)
34;0107.721;Основная и резервная защиты автотрансформатора 110-220 кВ (при наличии ошиновки на стороне НН)
35;0107.722;Основная и резервная защиты автотрансформатора 330-750 кВ
36;0107.740;Дифференциальная защита ошиновки НН (авто)трансформатора 110 220 кВ (одна двуплечевая зона)
37;0107.741;Дифференциальная защита ошиновки НН (авто)трансформатора 110 220 кВ (две двуплечевых/одна трехплечевая зоны)
38;0107.900;Защита шунтирующего реактора 110-750 кВ
39;0107.901;Защита управляемого шунтирующего реактора 110-750 кВ
40;0107.902;Защита и автоматика компенсационного реактора
41;0107.910;Основная и резервная защиты батареи статических конденсаторов 110 220 кВ
42;0107.911;Резервная защита батареи статических конденсаторов (шунтирующего реактора) 110-220 кВ с автоматикой управления выключателем
43;0107.941;Система гарантированного питания
44;0107.942;Система телемеханики, связи и видеонаблюдения
45;0107.943;Система серверного и коммутационного оборудования и мониторинга устройств РЗА
46;0107.948;Система учета электроэнергии и контроля качества
47;0107.950;Устройство аварийной и предупредительной телесигнализации
48;0107.951;Система сбора и передачи информации и общеподстанционных сигналов
49;0107.960;Автоматика пожаротушения
50;0107.970;Устройство централизованной оперативной блокировки
51;0107.971;Контроллер управления присоединением и системы распределенной оперативной блокировки
52;0107.972;Устройство преобразования дискретных и аналоговых сигналов и оперативной блокировки
53;0107.975;Система организации питания цепей оперативной блокировки
